variable,results,se,(lower,upper),missInfo,Beta,ll,ul,z,p.value,outcome,stars,Beta_round,p_value_round,Beta_star
time,-0.0027680186483133077,0.014861515896424662,-0.03193518904672735,0.026399151750100734,15 %,-0.0027680186483133077,-0.03193518904672735,0.026399151750100734,-0.1862541255955746,0.8522454803824364,identity,,-0,0.852,-0.00
math_level.L,0.05250359851914005,0.031510617349824875,-0.009341780546333896,0.11434897758461399,15 %,0.05250359851914005,-0.009341780546333896,0.11434897758461399,1.6662192916201892,0.09566974491308167,identity,.,0.05,0.096,0.05.
math_level.Q,-0.01996377580364954,0.025680503623347235,-0.07035434301372064,0.030426791406421558,14 %,-0.01996377580364954,-0.07035434301372064,0.030426791406421558,-0.7773903540388368,0.43692850169858066,identity,,-0.02,0.437,-0.02
math_level.C,-0.045397026486255564,0.020558298320121432,-0.0857115386493522,-0.0050825143231589265,9 %,-0.045397026486255564,-0.0857115386493522,-0.0050825143231589265,-2.2082093458982075,0.02722968320734731,identity,*,-0.05,0.027,-0.05*
teach_treat_std,0.21696576458036892,0.009521595086423936,0.19828880531532772,0.23564272384541013,11 %,0.21696576458036892,0.19828880531532772,0.23564272384541013,22.786703552404013,0,identity,***,0.22,0,0.22***
ses,-0.05202832743948731,0.01269402978756853,-0.07690942097130594,-0.027147233907668673,3 %,-0.05202832743948731,-0.07690942097130594,-0.027147233907668673,-4.0986454506700065,4.1557505119804716e-5,identity,***,-0.05,0,-0.05***
first_langEnglish only,-0.04850138504020128,0.04298505119644641,-0.13276441023909652,0.035761640158693944,5 %,-0.04850138504020128,-0.13276441023909652,0.035761640158693944,-1.1283314475663788,0.25917996716615654,identity,,-0.05,0.259,-0.05
first_langnon-English only,0.022514791624403813,0.04748384340004001,-0.07055585365035344,0.11558543689916106,3 %,0.022514791624403813,-0.07055585365035344,0.11558543689916106,0.4741568923712026,0.6353880309587341,identity,,0.02,0.635,0.02
female,-0.14463644341963783,0.018143157948355113,-0.18019731799071997,-0.10907556884855568,2 %,-0.14463644341963783,-0.18019731799071997,-0.10907556884855568,-7.971955258910745,1.5543122344752192e-15,identity,***,-0.14,0,-0.14***
"relevel(factor(race_ethnicity), ref = ""Asian"")Another Race",0.06259378641066318,0.08297018357266096,-0.10002936146898694,0.2252169342903133,2 %,0.06259378641066318,-0.10002936146898694,0.2252169342903133,0.7544130158015958,0.4506012584402366,identity,,0.06,0.451,0.06
"relevel(factor(race_ethnicity), ref = ""Asian"")Black",0.10898887503670221,0.05466117778206228,0.0018519894202124187,0.216125760653192,2 %,0.10898887503670221,0.0018519894202124187,0.216125760653192,1.9938991338834307,0.04616307863414648,identity,*,0.11,0.046,0.11*
"relevel(factor(race_ethnicity), ref = ""Asian"")Latinx",-0.11772684661485164,0.04814166840587103,-0.2120874398029327,-0.02336625342677058,3 %,-0.11772684661485164,-0.2120874398029327,-0.02336625342677058,-2.445425148591121,0.014468147734559178,identity,*,-0.12,0.014,-0.12*
"relevel(factor(race_ethnicity), ref = ""Asian"")Multiple",-0.057341512163916364,0.05922653910483357,-0.1734264633120161,0.05874343898418337,2 %,-0.057341512163916364,-0.1734264633120161,0.05874343898418337,-0.9681725967883988,0.33295817822507146,identity,,-0.06,0.333,-0.06
"relevel(factor(race_ethnicity), ref = ""Asian"")White",-0.1184822563815783,0.04647838584648915,-0.2095865996185245,-0.02737791314463213,4 %,-0.1184822563815783,-0.2095865996185245,-0.02737791314463213,-2.549190429566696,0.01079733241268066,identity,*,-0.12,0.011,-0.12*
math_score,0.032480251030206526,0.0010992620971118484,0.030325460437751684,0.034635041622661365,5 %,0.032480251030206526,0.030325460437751684,0.034635041622661365,29.54732189488173,0,identity,***,0.03,0,0.03***
early_algebra,0.09463138325131336,0.02189902845425958,0.05170722866900832,0.1375555378336184,3 %,0.09463138325131336,0.05170722866900832,0.1375555378336184,4.321259431621343,1.5514113533399154e-5,identity,***,0.09,0,0.09***
public,0.03209938825215529,0.022795580404132536,-0.012579449592300167,0.07677822609661075,1 %,0.03209938825215529,-0.012579449592300167,0.07677822609661075,1.4081408625303569,0.15908936328693235,identity,,0.03,0.159,0.03
urban,0.0033420960208199535,0.022369330155791334,-0.04050231994298295,0.047186511984622856,2 %,0.0033420960208199535,-0.04050231994298295,0.047186511984622856,0.1494052793509643,0.8812338461685596,identity,,0,0.881,0.00
time:math_level.L,0.11632783458450405,0.039637504838570994,0.038540375997868526,0.19411529317113957,14 %,0.11632783458450405,0.038540375997868526,0.19411529317113957,2.934792062675605,0.003337712766612766,identity,**,0.12,0.003,0.12**
time:math_level.Q,0.0058286971823980314,0.03576692855755865,-0.06447469730147573,0.0761320916662718,22 %,0.0058286971823980314,-0.06447469730147573,0.0761320916662718,0.16296331324670732,0.870547320261726,identity,,0.01,0.871,0.01
time:math_level.C,-0.0159901653920315,0.026738748516028425,-0.06843745937062665,0.036457128586563636,11 %,-0.0159901653920315,-0.06843745937062665,0.036457128586563636,-0.5980147269213542,0.5498301066144737,identity,,-0.02,0.55,-0.02
math_level.L:teach_treat_std,-0.02088340402847328,0.023406098642463277,-0.06688349007324453,0.025116682016297964,21 %,-0.02088340402847328,-0.06688349007324453,0.025116682016297964,-0.8922206279429528,0.37227468771832184,identity,,-0.02,0.372,-0.02
math_level.Q:teach_treat_std,0.0011093875495896324,0.019678530489000447,-0.037526991685179104,0.03974576678435837,17 %,0.0011093875495896324,-0.037526991685179104,0.03974576678435837,0.05637552815286375,0.9550426516488248,identity,,0,0.955,0.00
math_level.C:teach_treat_std,0.018236562314431874,0.015064118184432821,-0.011329375017570528,0.04780249964643428,15 %,0.018236562314431874,-0.011329375017570528,0.04780249964643428,1.210596072810783,0.2260502501220938,identity,,0.02,0.226,0.02
(Intercept),-0.5517922197319827,0.07371262985489578,-0.6963160320626998,-0.4072684074012656,7 %,-0.5517922197319827,-0.6963160320626998,-0.4072684074012656,-7.485721521782528,7.105427357601002e-14,interest,***,-0.55,0,-0.55***
time,-0.011550591223880666,0.015535652552898186,-0.042062614636617826,0.018961432188856497,18 %,-0.011550591223880666,-0.042062614636617826,0.018961432188856497,-0.7434892859859882,0.45718550572613026,interest,,-0.01,0.457,-0.01
math_level.L,0.060770005860973544,0.030234268568109054,0.0013220135184513898,0.1202179982034957,23 %,0.060770005860973544,0.0013220135184513898,0.1202179982034957,2.0099710936970845,0.04443424834619547,interest,*,0.06,0.044,0.06*
math_level.Q,-0.0030863450887985747,0.02370744906543078,-0.049602787816338374,0.04343009763874122,13 %,-0.0030863450887985747,-0.049602787816338374,0.04343009763874122,-0.13018461329519232,0.8964203677882596,interest,,-0,0.896,-0.00
math_level.C,-0.016161537232220784,0.020712320523046224,-0.05688226343262351,0.024559188968181937,22 %,-0.016161537232220784,-0.05688226343262351,0.024559188968181937,-0.7802861690093167,0.4352224520138619,interest,,-0.02,0.435,-0.02
teach_treat_std,0.5556603207109205,0.00836131467511048,0.5392392284659051,0.572081412955936,18 %,0.5556603207109205,0.5392392284659051,0.572081412955936,66.456094801094,0,interest,***,0.56,0,0.56***
ses,-0.04173132388000274,0.011368642594652584,-0.06402102504159468,-0.019441622718410788,7 %,-0.04173132388000274,-0.06402102504159468,-0.019441622718410788,-3.6707393633459553,2.418498617242637e-4,interest,***,-0.04,0,-0.04***
first_langEnglish only,-0.05345505583441631,0.042315886971959114,-0.13653136994511667,0.029621258276284042,16 %,-0.05345505583441631,-0.13653136994511667,0.029621258276284042,-1.2632384586393908,0.20650349543170377,interest,,-0.05,0.207,-0.05
first_langnon-English only,0.0627313529272089,0.04791460234240756,-0.031252139577731666,0.15671484543214947,11 %,0.0627313529272089,-0.031252139577731666,0.15671484543214947,1.3092324648531528,0.19045561831302882,interest,,0.06,0.19,0.06
female,0.007276415143054704,0.01597529391445621,-0.024066127089720845,0.03861895737583025,13 %,0.007276415143054704,-0.024066127089720845,0.03861895737583025,0.45547926579743236,0.6487644809390869,interest,,0.01,0.649,0.01
"relevel(factor(race_ethnicity), ref = ""Asian"")Another Race",0.1017657691777271,0.08671882318075594,-0.06836479437526492,0.2718963327307191,12 %,0.1017657691777271,-0.06836479437526492,0.2718963327307191,1.1735141857910991,0.24058967153545385,interest,,0.1,0.241,0.10
"relevel(factor(race_ethnicity), ref = ""Asian"")Black",0.10569877658609066,0.04822959990971663,0.011059718328299092,0.20033783484388223,14 %,0.10569877658609066,0.011059718328299092,0.20033783484388223,2.191574816792041,0.02841022199134735,interest,*,0.11,0.028,0.11*
"relevel(factor(race_ethnicity), ref = ""Asian"")Latinx",-0.06745087935512634,0.04297906500268292,-0.1517588867570012,0.01685712804674852,12 %,-0.06745087935512634,-0.1517588867570012,0.01685712804674852,-1.5693891747276445,0.11655728490888273,interest,,-0.07,0.117,-0.07
"relevel(factor(race_ethnicity), ref = ""Asian"")Multiple",-0.11128007532809496,0.04903239709347929,-0.20743993565616747,-0.01512021500002246,10 %,-0.11128007532809496,-0.20743993565616747,-0.01512021500002246,-2.269521416950954,0.023236636330241422,interest,*,-0.11,0.023,-0.11*
"relevel(factor(race_ethnicity), ref = ""Asian"")White",-0.10284142015565723,0.040937629907821654,-0.18314204762283195,-0.022540792688482497,11 %,-0.10284142015565723,-0.18314204762283195,-0.022540792688482497,-2.51214885637549,0.011999846007747061,interest,*,-0.1,0.012,-0.10*
math_score,0.014184926483651694,0.0010095005038748492,0.012204685156401303,0.016165167810902086,12 %,0.014184926483651694,0.012204685156401303,0.016165167810902086,14.051430810786641,0,interest,***,0.01,0,0.01***
early_algebra,0.013343533311098835,0.02094430974169143,-0.02779326601734557,0.054480332639543244,18 %,0.013343533311098835,-0.02779326601734557,0.054480332639543244,0.6370958735649996,0.5240623962416935,interest,,0.01,0.524,0.01
public,-0.02156466002330057,0.019718809731337127,-0.06022323214562406,0.017093912099022925,7 %,-0.02156466002330057,-0.06022323214562406,0.017093912099022925,-1.093608606052424,0.2741266731535992,interest,,-0.02,0.274,-0.02
urban,-0.01598831650654173,0.018568913476654434,-0.05241171699286899,0.020435083979785534,11 %,-0.01598831650654173,-0.05241171699286899,0.020435083979785534,-0.8610259575307337,0.38922374679377114,interest,,-0.02,0.389,-0.02
time:math_level.L,0.12067275416918269,0.03709628780182168,0.0478754456155214,0.19347006272284398,14 %,0.12067275416918269,0.0478754456155214,0.19347006272284398,3.2529603720417772,0.0011420942350981456,interest,**,0.12,0.001,0.12**
time:math_level.Q,0.03395302375992739,0.03314728380101572,-0.031132640172499886,0.09903868769235466,17 %,0.03395302375992739,-0.031132640172499886,0.09903868769235466,1.0243078728184354,0.3056898805482122,interest,,0.03,0.306,0.03
time:math_level.C,0.011755936126085649,0.027749766653126992,-0.04280039990601314,0.06631227215818444,22 %,0.011755936126085649,-0.04280039990601314,0.06631227215818444,0.42364090022936923,0.671827722263814,interest,,0.01,0.672,0.01
math_level.L:teach_treat_std,0.030767062484607997,0.019461376061048294,-0.007483156430739407,0.0690172813999554,21 %,0.030767062484607997,-0.007483156430739407,0.0690172813999554,1.580929446514725,0.11389417054402617,interest,,0.03,0.114,0.03
